address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Curve hwHLP/USDhl Rewards,Total Rewards
0xfd7e2721da55ca7bdc20e90626724c77dfdde0c6,0.2813580672395085,0.47947847554170914,0.48755540271078,4.032802785080379e-06,0.0,0.0,0.0,1.2483959782947827
0xa656a158fdd934e8a78bf16777ea0303f1067149,1.235269472004215,0.0,0.0,0.0,0.0,0.0,0.0,1.235269472004215
0xf3b81a4cae77e820f1b82f46ebd8216b57d1226a,0.0,1.2296715328824068,0.0,0.0,0.0,0.0,0.0,1.2296715328824068
0x0284bbd3646b59740a167ef78a306028343f3806,0.14451837605724743,1.0768688188677158,0.0,0.0,0.0,0.0,0.0,1.2213871949249633
0x5de5fc77fa43dda4155ce70edb0be683c0cc03c3,1.217756984846453,0.0,0.0,0.0,0.0,0.0,0.0,1.217756984846453
0x93b575a07ba3abb5940a24d5e319d0dd21d4ee9d,0.3701877280069582,0.8217320703975693,0.0,0.0,0.0,0.020823142867735636,0.0,1.2127429412722632
0xf905049d614ddd21e4745417b3f05eb05e52c4fb,1.1322082751465703,0.06495058864136896,0.0,0.0,0.0,0.0,0.0,1.1971588637879393
0x0673251eaea864aa256aa5f934b1e629d9430224,0.6926040333330624,0.4949162514489343,0.0,8.177782832073816e-11,0.0,0.0,0.0,1.1875202848637747
0x6d910bea79aaf318e7170c6fb8318d9c466b2164,1.174472343499378,0.0,0.0,0.0,0.0,0.0,0.0,1.174472343499378
0xb18ec843b2c94bd3db66fd61974da3bc0993b7e9,0.0,1.170781129626073,0.0,0.0,0.0,0.0,0.0,1.170781129626073
0xef962f012cd63a3ff0286e710fd9600620306a53,0.0,1.1345257095169385,0.0,0.0,0.0,0.0,0.0,1.1345257095169385
0x549e6dd8453ed87fccdcf4f8b37162b10edc0533,0.10292673870778142,1.0309048964763274,0.0,0.0,3.219504407427913e-08,0.0,0.0,1.1338316673791529
0x0c7f7a2d22a700dbc1ea9092551358777771a602,0.0,0.0,1.132987868914246,0.0,0.0,0.0,0.0,1.132987868914246
0x4fe9e1465d589757e0469b33504d00b91f431055,0.0808064969435576,1.0338058084879298,0.0,0.0,0.0,0.0,0.0,1.1146123054314874
0x481c48317e9b9dfee71f4e9588cb920c9c9f9ad1,0.2438518264449841,0.8160766609929988,0.0,0.0,0.0,0.0,0.0,1.0599284874379828
0xf1219d29669625f8ca1c312db488f9135779df23,0.0,1.0532285177299172,0.0,0.0,0.0,0.0,0.0,1.0532285177299172
0xa351db10472a07059ea099e0581444e568bff894,0.7454197850001711,0.2886110954005369,0.0,0.0,0.0,0.0,0.0,1.0340308804007081
0x7a2dec2cf9247964f22afae48fc7d6ad5b71e137,0.1735699031758584,0.8571989631551249,0.0,0.0,0.0,0.0,0.0,1.0307688663309833
0x87d1910be2aae6d9c22f15ac9009ec8ca8706bad,1.003361925941991,0.0,0.0,0.0,0.0,0.0,0.0,1.003361925941991
0xa4f7d6a008401a608476199a01dcc5487130987a,0.001926006497801337,0.9948151994899951,0.0,0.0,0.0,0.0,0.0,0.9967412059877965
0xd9f0834e7ca9b9262df3189b850ebf9514027e82,0.0,0.9478409411369814,0.0,0.030744227289770363,0.0,0.0,0.0,0.9785851684267517
0x285b7eea81a5b66b62e7276a24c1e0f83f7409c1,0.0,0.0,0.02889578414910261,0.0,0.9352046871546036,0.0,0.0,0.9641004713037062
0xc667891581280551ad01a0feece6b925d9c9bb08,0.2654380844772414,0.6982265433978293,0.0,0.0,0.0,0.0,0.0,0.9636646278750707
0x92a9db347130e0495bcb8b948dbe66f553592110,0.0,0.9561646638246444,0.0,0.0,0.0,0.0,0.0,0.9561646638246444
