address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Curve hwHLP/USDhl Rewards,Hyperlend USDHL Rewards,Total Rewards
0xc3eed391e92ac9d810cb43cc4c1124e99ccaf688,0.37953025893887393,2.329219292358563,0.0,0.0,0.0,0.0,0.0,0.0,2.7087495512974367
0xaa782f348daf6aeee7606cf3a15c9bdde2be9aba,2.6090377572225383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6090377572225383
0x93d2f4f3a0445aa808c99cbd6ba05236a895379f,0.0,2.5458223080921663,0.0,0.0,0.0,0.0,0.0,0.0,2.5458223080921663
0x7be19059fa7337d8ff76aeda43c893ecdb119adb,0.0,2.5195217191400023,0.0,0.0,0.0,0.0,0.0,0.0,2.5195217191400023
0x22b0956aed6e18be9aa479670401d5d61cfb5bb9,0.4558522458118381,2.048655704298487,0.0,0.0,0.0,0.0,0.0,0.0,2.5045079501103253
0xf2f79c84483b18f23404c2936977e1d86ce5e177,0.0,2.499052621743226,0.0,0.0,0.0,0.0,0.0,0.0,2.499052621743226
0x7fe8cfe481ec2f702692a9152e3f002f3e417ac6,1.5983636708088298,0.0,0.8630891516108921,0.0,0.0,0.0,0.0,0.0,2.461452822419722
0xa68eb8520766ca5eae81e547128d5cc3fa909a1e,0.3735360699450545,2.010394873533102,0.0,0.0,0.0,0.0,0.0,0.0,2.3839309434781564
0x7cb297533d4b7a187f252c3a0d72a282802dd949,2.2017049305253846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2017049305253846
0x514c4ba193c698100ddc998f17f24bdf59c7b6fb,0.0,2.180215348896369,0.0,0.0,0.0,0.0,0.0,0.0,2.180215348896369
0x21c107520fb69ab1eed094b67516f6c5cb3f9700,0.0,2.0663042018869153,0.0,0.0,0.0,0.0,0.0,0.0,2.0663042018869153
0x70e439584ef1ba300106b9c16543eaa1de676dc2,0.0,2.0260088614743914,0.0,0.0,0.0,0.0,0.0,0.0,2.0260088614743914
0xba58eb3a9a89e78370aba6d8a19640525acc6a02,1.5485418034521732,0.0,0.0,0.0,0.428212705309593,0.0,0.0,0.0,1.9767545087617662
0x524f7d39d1a1a24aa315f101b3a8b9a82daf932f,1.9694919770087997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9694919770087997
0x1dff8c29ad7f6d8841a25a9dda8956f2e7a3c134,0.0,1.845278236038989,0.0,0.0,0.0,0.0,0.0,0.0,1.845278236038989
0x609c669b3e848158ad341fc1c390e5157ec53147,1.7568731406613893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7568731406613893
0x580809c0dfe56287e933f99e347cd5385a645ee3,1.4084158217068423,0.306980813160736,0.0,0.0,0.0,0.0,0.0,0.0,1.7153966348675782
0xb83cee9e0669ad5cecd6100cc94f5341c2a13b98,0.0,1.6507062775357868,0.0,0.0,0.0,0.0,0.0,0.0,1.6507062775357868
0x44db61c6cedfbda1428e1ea07d7d31b8140a9519,0.0,0.0,1.6499988100000167,0.0,0.0,0.0,0.0,0.0,1.6499988100000167
0x8c8d16b8005eaed1f27e04e5e6df154b96fe5f83,0.7177389893152895,0.9215383358331519,0.0,0.0,0.0,0.0,0.0,0.0,1.6392773251484414
0xabbc6aaf0f99a05e2e00e0426b5628b404a5e3b3,0.0,1.5862192008135145,0.0,0.0,0.0,0.0,0.0,0.0,1.5862192008135145
0xcac1f1c3e4599e044dc2a9d38a9b6ef1af1bdae8,0.0,1.5473593803609305,0.0,0.0,0.0,0.0,0.0,0.0,1.5473593803609305
0x62e485fd0e5c7d32f8ccf11aa356a1179c76e400,1.5416285724497951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5416285724497951
0x35efbc359375138a76763c68e04d3e5f66c7c05b,0.36736596560779444,1.0608769510951006,0.0,0.0,0.0,0.0,0.0,0.0,1.428242916702895
0x087c01d466824a47c0077f4bbeca3d4626eb607b,0.0,0.8219934943203989,0.0,0.0,0.0,0.0,0.0,0.59450861764,1.4165021119603989
0xb18ec843b2c94bd3db66fd61974da3bc0993b7e9,0.0,1.34017041382874,0.0,0.0,0.0,0.0,0.0,0.0,1.34017041382874
0x2ea6bbf8eaf9f73589c347067c7c43ff637b6fc5,0.0,1.3146539520517964,0.0,0.0,0.0,0.0,0.0,0.0,1.3146539520517964
